name,time,air_Pressure_mH2O,air_Temp_float,batt,channel_rssi,data_rate_index,dev_id,device_id,dist,forwarder_gateway_id,recieved_time,rssi,snr,spreading_factor,timestamp,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
puhatu-v3,1.62671E+18,10.27301407,20.86722565,3.704,-119,2,puhatu-b2v3,,47.6,eui-b827ebfffefdad64,,-119,1.8,10,,,,
puhatu-v3,1.62672E+18,10.27388287,13.86239243,4.009,-120,2,puhatu-b2v3,,47.8,eui-b827ebfffefdad64,,-120,-1.5,10,,,,
puhatu-v3,1.62673E+18,10.27488327,6.132824898,4.006,-119,2,puhatu-b2v3,,47.8,eui-b827ebfffefdad64,,-119,-4,10,,,,
puhatu-v3,1.62673E+18,10.27049828,6.685840607,4,-119,2,puhatu-b2v3,,47.4,eui-b827ebfffefdad64,,-119,1.8,10,,,,
puhatu-v3,1.62674E+18,10.26995087,7.521977425,4,-120,2,puhatu-b2v3,,47.6,eui-b827ebfffefdad64,,-120,-2.5,10,,,,
puhatu-v3,1.62675E+18,10.27023602,9.367249489,4.004,-111,2,puhatu-b2v3,,47.3,eui-b827ebfffefdad64,,-111,6.8,10,,,,
puhatu-v3,1.62675E+18,10.27045822,13.35672951,4.004,-117,2,puhatu-b2v3,,48,eui-b827ebfffefdad64,,-117,-0.5,10,,,,
puhatu-v3,1.62676E+18,10.27494144,19.17280197,3.646,-119,2,puhatu-b2v3,,47.8,eui-b827ebfffefdad64,,-119,3,10,,,,
puhatu-v3,1.62677E+18,10.27677155,22.19633865,3.836,-114,2,puhatu-b2v3,,47.4,eui-b827ebfffefdad64,,-114,3.5,10,,,,
puhatu-v3,1.62678E+18,10.27028179,28.47877502,4.649,-111,2,puhatu-b2v3,,47.9,eui-b827ebfffefdad64,,-111,5.2,10,,,,
puhatu-v3,1.62678E+18,10.26425457,24.70131302,3.864,-117,2,puhatu-b2v3,,47.8,eui-b827ebfffefdad64,,-117,4.2,10,,,,
puhatu-v3,1.6268E+18,10.24669743,14.57495117,4.004,-117,2,puhatu-b2v3,,47.4,eui-b827ebfffefdad64,,-117,1.2,10,,,,
puhatu-v3,1.62681E+18,10.24563026,11.01466179,4.002,-114,2,puhatu-b2v3,,47.4,eui-b827ebfffefdad64,,-114,3.8,10,,,,
puhatu-v3,1.62682E+18,10.24838734,12.03533459,4.001,-115,2,puhatu-b2v3,,47.6,eui-b827ebfffefdad64,,-115,2.2,10,,,,
puhatu-v3,1.62682E+18,10.25185204,12.50671387,3.999,-115,2,puhatu-b2v3,,47.5,eui-b827ebfffefdad64,,-115,1.2,10,,,,
puhatu-v3,1.62683E+18,10.25729656,10.88093472,4.003,-120,2,puhatu-b2v3,,47.4,eui-b827ebfffefdad64,,-120,-4.5,10,,,,
puhatu-v3,1.62684E+18,10.26410961,12.61561298,4.001,-121,2,puhatu-b2v3,,47.2,eui-b827ebfffefdad64,,-121,-9.5,10,,,,
puhatu-v3,1.62684E+18,10.27872849,19.88124084,3.998,-115,2,puhatu-b2v3,,47.6,eui-b827ebfffefdad64,,-115,3,10,,,,
puhatu-v3,1.62686E+18,10.2972908,25.37849808,4.644,-113,2,puhatu-b2v3,,47.6,eui-b827ebfffefdad64,,-113,4.8,10,,,,
puhatu-v3,1.62687E+18,10.30919838,23.38835144,4.646,-114,2,puhatu-b2v3,,47.3,eui-b827ebfffefdad64,,-114,5.2,10,,,,
puhatu-v3,1.62687E+18,10.31127834,24.99263382,4.649,-114,2,puhatu-b2v3,,47.9,eui-b827ebfffefdad64,,-114,3.8,10,,,,
puhatu-v3,1.62688E+18,10.31266308,24.06550789,3.65,-118,2,puhatu-b2v3,,47.9,eui-b827ebfffefdad64,,-118,5.5,10,,,,
puhatu-v3,1.62689E+18,10.31351185,20.40040588,3.67,-119,2,puhatu-b2v3,,47.8,eui-b827ebfffefdad64,,-119,3.2,10,,,,
puhatu-v3,1.6269E+18,10.31240463,8.08559227,4.001,-118,2,puhatu-b2v3,,47.7,eui-b827ebfffefdad64,,-118,2.5,10,,,,
puhatu-v3,1.62691E+18,10.31371403,9.992526054,3.998,-118,2,puhatu-b2v3,,47.7,eui-b827ebfffefdad64,,-118,5,10,,,,
puhatu-v3,1.62692E+18,10.31738758,7.850315571,3.998,-112,2,puhatu-b2v3,,47.8,eui-b827ebfffefdad64,,-112,5.8,10,,,,
puhatu-v3,1.62693E+18,10.31626987,14.32921982,3.662,-112,2,puhatu-b2v3,,47.7,eui-b827ebfffefdad64,,-112,4,10,,,,
puhatu-v3,1.62693E+18,10.3088913,23.85694122,3.651,-116,2,puhatu-b2v3,,48,eui-b827ebfffefdad64,,-116,1.8,10,,,,
puhatu-v3,1.62694E+18,10.30249691,26.6799984,3.67,-113,2,puhatu-b2v3,,47.9,eui-b827ebfffefdad64,,-113,7,10,,,,
puhatu-v3,1.62695E+18,10.29374886,27.48234367,4.651,-120,2,puhatu-b2v3,,48,eui-b827ebfffefdad64,,-120,4.8,10,,,,
puhatu-v3,1.62695E+18,10.28415775,24.23709869,3.658,-113,2,puhatu-b2v3,,48,eui-b827ebfffefdad64,,-113,4.2,10,,,,
puhatu-v3,1.62696E+18,10.27131462,23.27684402,3.662,-120,2,puhatu-b2v3,,48,eui-b827ebfffefdad64,,-120,2,10,,,,
puhatu-v3,1.62697E+18,10.25868416,25.17377281,3.649,-113,2,puhatu-b2v3,,48,eui-b827ebfffefdad64,,-113,6.8,10,,,,
